               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076974,            0.018835,                   0,             0.92516,             0.63945,             0.80432,             0.40002,            0.034842,           0.0054539,                   0,            0.070168,           0.0033147,           0.0033147
                   1,            0.053704,            0.012286,                   0,             0.93203,             0.70931,             0.83003,             0.32497,            0.037705,           0.0040947,                   0,            0.040113,           0.0065932,           0.0065932
                   2,            0.049737,           0.0095553,                   0,             0.87443,             0.84054,             0.86211,             0.32781,            0.038178,           0.0031077,                   0,            0.010003,           0.0098167,           0.0098167
                   3,             0.04565,           0.0076762,                   0,                   1,             0.83561,             0.91306,             0.42702,            0.033393,           0.0023194,                   0,           0.0097525,           0.0097525,           0.0097525
                   4,            0.042227,           0.0067875,                   0,             0.92513,             0.86207,             0.91041,             0.49238,            0.028893,            0.002364,                   0,           0.0097525,           0.0097525,           0.0097525
                   5,            0.040388,           0.0064653,                   0,             0.98628,             0.86207,             0.90756,             0.42394,            0.030795,           0.0023658,                   0,             0.00967,             0.00967,             0.00967
                   6,            0.039491,             0.00619,                   0,             0.97098,             0.86207,             0.92907,             0.46173,            0.030123,           0.0023674,                   0,           0.0095875,           0.0095875,           0.0095875
                   7,            0.036835,           0.0060659,                   0,             0.92181,             0.86207,             0.90048,             0.46261,            0.028918,           0.0024258,                   0,            0.009505,            0.009505,            0.009505
                   8,            0.036573,           0.0056693,                   0,             0.92844,             0.87931,             0.92681,             0.48451,            0.030057,           0.0021231,                   0,           0.0094225,           0.0094225,           0.0094225
                   9,            0.035367,           0.0058528,                   0,             0.99777,             0.84483,             0.92178,             0.49318,            0.028701,           0.0021532,                   0,             0.00934,             0.00934,             0.00934
                  10,             0.03387,           0.0055699,                   0,             0.98025,             0.85587,             0.91562,             0.47047,            0.030547,           0.0021744,                   0,           0.0092575,           0.0092575,           0.0092575
                  11,             0.03334,           0.0055842,                   0,             0.94072,             0.82084,             0.87869,             0.43893,            0.030312,           0.0026919,                   0,            0.009175,            0.009175,            0.009175
                  12,            0.033507,           0.0057131,                   0,             0.97027,             0.84483,              0.9119,             0.45866,            0.030036,           0.0022932,                   0,           0.0090925,           0.0090925,           0.0090925
                  13,            0.032588,            0.005526,                   0,             0.96679,             0.87931,             0.91847,             0.50143,            0.029284,           0.0021446,                   0,             0.00901,             0.00901,             0.00901
                  14,            0.032436,           0.0054276,                   0,              0.9802,             0.85375,             0.91651,             0.44905,            0.030566,           0.0025328,                   0,           0.0089275,           0.0089275,           0.0089275
                  15,            0.031026,           0.0054338,                   0,             0.97744,             0.86207,             0.91543,             0.49191,            0.029496,           0.0022382,                   0,            0.008845,            0.008845,            0.008845
                  16,            0.031135,           0.0051634,                   0,             0.96464,             0.84483,             0.92017,             0.45976,            0.029202,           0.0021694,                   0,           0.0087625,           0.0087625,           0.0087625
                  17,            0.030531,           0.0054367,                   0,             0.96087,             0.84668,             0.93336,             0.49683,            0.027428,           0.0021481,                   0,             0.00868,             0.00868,             0.00868
                  18,            0.030817,           0.0053321,                   0,             0.99476,             0.84483,             0.91365,             0.49548,            0.028159,           0.0021916,                   0,           0.0085975,           0.0085975,           0.0085975
                  19,            0.029235,           0.0049931,                   0,             0.97976,             0.86207,             0.92099,              0.5071,            0.027724,            0.002123,                   0,            0.008515,            0.008515,            0.008515
                  20,            0.029544,           0.0051736,                   0,                   1,             0.85991,              0.9275,             0.51199,            0.028397,           0.0021029,                   0,           0.0084325,           0.0084325,           0.0084325
                  21,            0.029397,           0.0051572,                   0,             0.99767,             0.86207,             0.93075,             0.50837,            0.028207,           0.0020724,                   0,             0.00835,             0.00835,             0.00835
                  22,            0.028447,           0.0050116,                   0,             0.93952,             0.84483,             0.91252,             0.52808,            0.027271,           0.0022164,                   0,           0.0082675,           0.0082675,           0.0082675
                  23,             0.02865,            0.004861,                   0,             0.96407,             0.84483,              0.9218,               0.499,            0.028045,           0.0023632,                   0,            0.008185,            0.008185,            0.008185
                  24,            0.028382,           0.0050427,                   0,             0.95849,             0.89655,             0.93607,             0.52864,            0.028113,           0.0020375,                   0,           0.0081025,           0.0081025,           0.0081025
